Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
48,3189.0,1.0368549823760986,2.02,3.03,5.050000000000001,100,1,1,1,0
49,3226.0,1.037372350692749,3.03,4.04,6.06,77.77,1,1,1,1
50,3165.0,1.0388967990875244,2.02,3.03,5.050000000000001,100,1,1,1,0
51,3184.0,1.0374743938446045,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
52,3193.0,1.0389506816864014,3.03,4.04,10.100000000000001,100,1,1,1,0
53,3205.0,1.0375776290893555,3.03,4.04,6.06,87.87,1,1,1,1
54,3236.0,1.038318395614624,2.02,3.03,7.07,27.270000000000003,1,1,1,1
55,3192.0,1.0372812747955322,3.03,5.050000000000001,20.200000000000003,100,1,1,1,0
56,3237.0,1.0396032333374023,2.02,3.03,4.04,29.29,1,1,1,1
57,3139.0,1.0394959449768066,3.03,5.050000000000001,15.149999999999999,100,1,1,1,0
58,3231.0,1.0378873348236084,3.03,4.04,6.06,27.270000000000003,1,1,1,1
59,3170.0,1.0360329151153564,3.03,4.04,4.04,100,1,1,1,0
60,3177.0,1.0399305820465088,3.03,3.03,6.06,100,1,1,1,0
61,3213.0,1.0384953022003174,3.03,4.04,7.07,100,1,1,1,0
62,3186.0,1.0372493267059326,3.03,4.04,7.07,100,1,1,1,0
63,3198.0,1.0370903015136719,3.03,3.03,5.050000000000001,100,1,1,1,0
64,3203.0,1.0381789207458496,2.02,3.03,4.04,100,1,1,1,0
65,3254.0,1.0392727851867676,2.02,3.03,4.04,36.36,1,1,1,1
66,3216.0,1.039062261581421,2.02,4.04,7.07,71.71,1,1,1,1
67,3191.0,1.037755012512207,3.03,5.050000000000001,9.09,100,1,1,1,0
68,3176.0,1.0379014015197754,3.03,4.04,15.149999999999999,100,1,1,1,0
69,3252.0,1.0380494594573975,3.03,3.03,5.050000000000001,24.24,1,1,1,1
70,3183.0,1.0404696464538574,3.03,4.04,7.07,100,1,1,1,0
71,3225.0,1.0384798049926758,2.02,3.03,4.04,65.65,1,1,1,1
72,3234.0,1.0382702350616455,3.03,4.04,5.050000000000001,31.31,1,1,1,1
73,3218.0,1.0393667221069336,2.02,3.03,3.03,49.49,1,1,1,1
74,3215.0,1.0390446186065674,3.03,4.04,6.06,76.76,1,1,1,1
75,3175.0,1.0374224185943604,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
76,3203.0,1.0383450984954834,3.03,4.04,8.08,100,1,1,1,0
77,3235.0,1.0378587245941162,2.02,3.03,4.04,69.69000000000001,1,1,1,1
78,3221.0,1.0397212505340576,3.03,4.04,6.06,45.45,1,1,1,1
79,3248.0,1.0402319431304932,3.03,3.03,5.050000000000001,42.42,1,1,1,1
80,3160.0,1.0381903648376465,3.03,5.050000000000001,12.12,100,1,1,1,0
81,3225.0,1.0362575054168701,2.02,3.03,6.06,53.53,1,1,1,1
