Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
85,0.99,1651.0,1.01,2.02,4.04,100,1,1,1,0
86,0.99,1736.0,1.01,1.01,1.01,2.02,1,1,1,1
87,0.99,1594.0,1.01,1.01,100,100,1,1,0,0
88,0.99,1736.0,1.01,1.01,1.01,2.02,1,1,1,1
89,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
90,0.99,1736.0,1.01,1.01,9.09,9.09,1,1,1,1
91,0.99,1651.0,1.01,2.02,4.04,100,1,1,1,0
92,0.99,1736.0,1.01,1.01,2.02,2.02,1,1,1,1
93,0.99,1639.0,1.01,2.02,2.02,100,1,1,1,0
94,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
95,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
96,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
97,0.99,1549.0,2.02,100,100,100,1,0,0,0
98,0.99,1736.0,1.01,1.01,2.02,2.02,1,1,1,1
99,0.99,1639.0,1.01,1.01,1.01,100,1,1,1,0
100,0.99,1736.0,1.01,2.02,2.02,3.03,1,1,1,1
